,,table 1,,,table 2,,,,,table 3,
,,rule octect,rule number,,ruleoctect parent,rulenumber parent,ruleoctect child,rulenuber child,,rulenumber parent,rulenuber child
!=combination(),,00000000,0,!=implication,00000000,0,00000000,0,,0,0
,,00000001,1,,00000000,0,00000001,1,,0,1
,,00000010,2,,00000000,0,00000010,2,,0,2
,,00000011,3,,00000000,0,00000011,3,,0,3
,,00000100,4,,00000000,0,00000100,4,,0,4
,,00000101,5,,00000000,0,00000101,5,,0,5
,,00000110,6,,00000000,0,00000110,6,,0,6
,,00000111,7,,00000000,0,00000111,7,,0,7
,,00001000,8,,00000000,0,00001000,8,,0,8
,,00001001,9,,00000000,0,00001001,9,,0,9
,,00001010,10,,00000000,0,00001010,10,,0,10
,,00001011,11,,00000000,0,00001011,11,,0,11
,,00001100,12,,00000000,0,00001100,12,,0,12
,,00001101,13,,00000000,0,00001101,13,,0,13
,,00001110,14,,00000000,0,00001110,14,,0,14
,,00001111,15,,00000000,0,00001111,15,,0,15
,,00010000,16,,00000000,0,00010000,16,,0,16
,,00010001,17,,00000000,0,00010001,17,,0,17
,,00010010,18,,00000000,0,00010010,18,,0,18
,,00010011,19,,00000000,0,00010011,19,,0,19
,,00010100,20,,00000000,0,00010100,20,,0,20
,,00010101,21,,00000000,0,00010101,21,,0,21
,,00010110,22,,00000000,0,00010110,22,,0,22
,,00010111,23,,00000000,0,00010111,23,,0,23
,,00011000,24,,00000000,0,00011000,24,,0,24
,,00011001,25,,00000000,0,00011001,25,,0,25
,,00011010,26,,00000000,0,00011010,26,,0,26
,,00011011,27,,00000000,0,00011011,27,,0,27
,,00011100,28,,00000000,0,00011100,28,,0,28
,,00011101,29,,00000000,0,00011101,29,,0,29
,,00011110,30,,00000000,0,00011110,30,,0,30
,,00011111,31,,00000000,0,00011111,31,,0,31
,,00100000,32,,00000000,0,00100000,32,,0,32
,,00100001,33,,00000000,0,00100001,33,,0,33
,,00100010,34,,00000000,0,00100010,34,,0,34
,,00100011,35,,00000000,0,00100011,35,,0,35
,,00100100,36,,00000000,0,00100100,36,,0,36
,,00100101,37,,00000000,0,00100101,37,,0,37
,,00100110,38,,00000000,0,00100110,38,,0,38
,,00100111,39,,00000000,0,00100111,39,,0,39
,,00101000,40,,00000000,0,00101000,40,,0,40
,,00101001,41,,00000000,0,00101001,41,,0,41
,,00101010,42,,00000000,0,00101010,42,,0,42
,,00101011,43,,00000000,0,00101011,43,,0,43
,,00101100,44,,00000000,0,00101100,44,,0,44
,,00101101,45,,00000000,0,00101101,45,,0,45
,,00101110,46,,00000000,0,00101110,46,,0,46
,,00101111,47,,00000000,0,00101111,47,,0,47
,,00110000,48,,00000000,0,00110000,48,,0,48
,,00110001,49,,00000000,0,00110001,49,,0,49
,,00110010,50,,00000000,0,00110010,50,,0,50
,,00110011,51,,00000000,0,00110011,51,,0,51
,,00110100,52,,00000000,0,00110100,52,,0,52
,,00110101,53,,00000000,0,00110101,53,,0,53
